cell	tf
Mono-7	STAT1_HUMAN.H11MO.1.A
Mono-7	IRF3_HUMAN.H11MO.0.B
Mono-7	IRF9_HUMAN.H11MO.0.C
Mono-7	JUNB_HUMAN.H11MO.0.A
Mono-7	BATF_HUMAN.H11MO.1.A
Mono-7	FOS_HUMAN.H11MO.0.A
Mono-7	JUN_HUMAN.H11MO.0.A
Mono-7	FOSL1_HUMAN.H11MO.0.A
Mono-7	ATF3_HUMAN.H11MO.0.A
Mono-7	FOSL2_HUMAN.H11MO.0.A
Mono-7	JUND_HUMAN.H11MO.0.A
Mono-7	MAFB_HUMAN.H11MO.0.B
Mono-7	TAL1_HUMAN.H11MO.1.A
MPP-2	CEBPA_HUMAN.H11MO.0.A
MPP-2	TFE2_HUMAN.H11MO.0.A
MPP-2	TAL1_HUMAN.H11MO.1.A
Nkcell-11	SPI1_HUMAN.H11MO.0.A
Nkcell-11	NFIL3_HUMAN.H11MO.0.D
Nkcell-11	KLF4_HUMAN.H11MO.0.A
Nkcell-11	TBX21_HUMAN.H11MO.0.A
Nkcell-11	PRDM1_HUMAN.H11MO.0.A
Nkcell-11	GATA3_HUMAN.H11MO.0.A
Nkcell-11	EOMES_HUMAN.H11MO.0.D
Nkcell-11	ETS1_HUMAN.H11MO.0.A
Nkcell-11	TAL1_HUMAN.H11MO.1.A
pDC	RUNX2_HUMAN.H11MO.0.A
pDC	STAT3_HUMAN.H11MO.0.A
pDC	SPI1_HUMAN.H11MO.0.A
pDC	ITF2_HUMAN.H11MO.0.C
pDC	BATF3_HUMAN.H11MO.0.B
pDC	IRF4_HUMAN.H11MO.0.A
pDC	IKZF1_HUMAN.H11MO.0.C
pDC	GFI1_HUMAN.H11MO.0.C
pDC	BCL6_HUMAN.H11MO.0.A
pDC	BC11A_HUMAN.H11MO.0.A
pDC	IRF8_HUMAN.H11MO.0.B
pDC	SPIB_HUMAN.H11MO.0.A
pDC	HTF4_HUMAN.H11MO.0.A
pDC	MESP1_HUMAN.H11MO.0.D
pDC	STAT1_HUMAN.H11MO.1.A
pDC	IRF1_HUMAN.H11MO.0.A
pDC	TFE2_HUMAN.H11MO.0.A
pDC	ASCL2_HUMAN.H11MO.0.D
pDC	IRF3_HUMAN.H11MO.0.B
pDC	ZEB1_HUMAN.H11MO.0.A
pDC	IRF9_HUMAN.H11MO.0.C
pDC	SPIC_HUMAN.H11MO.0.D
pDC	ID4_HUMAN.H11MO.0.D
pDC	TAL1_HUMAN.H11MO.1.A
CLP-14	IRF4_HUMAN.H11MO.0.A
CLP-14	JUN_HUMAN.H11MO.0.A
CLP-14	MEF2C_HUMAN.H11MO.0.A
CLP-14	ETV4_HUMAN.H11MO.0.B
CLP-14	MAFG_HUMAN.H11MO.1.A
CLP-14	BATF_HUMAN.H11MO.1.A
CLP-14	GATA6_HUMAN.H11MO.0.A
CLP-14	MYOG_HUMAN.H11MO.0.B
CLP-14	ATF4_HUMAN.H11MO.0.A
CLP-14	BACH1_HUMAN.H11MO.0.A
CLP-14	MAFF_HUMAN.H11MO.1.B
CLP-14	NFE2_HUMAN.H11MO.0.A
CLP-14	FOSL1_HUMAN.H11MO.0.A
CLP-14	CEBPG_HUMAN.H11MO.0.B
CLP-14	NFIL3_HUMAN.H11MO.0.D
CLP-14	HLF_HUMAN.H11MO.0.C
CLP-14	FOSB_HUMAN.H11MO.0.A
CLP-14	GATA3_HUMAN.H11MO.0.A
CLP-14	STAT2_HUMAN.H11MO.0.A
CLP-14	IRF2_HUMAN.H11MO.0.A
CLP-14	MAFK_HUMAN.H11MO.1.A
CLP-14	GATA4_HUMAN.H11MO.0.A
CLP-14	GATA2_HUMAN.H11MO.1.A
CLP-14	IRF3_HUMAN.H11MO.0.B
CLP-14	SNAI1_HUMAN.H11MO.0.C
CLP-14	IKZF1_HUMAN.H11MO.0.C
CLP-14	KLF1_HUMAN.H11MO.0.A
CLP-14	IRF8_HUMAN.H11MO.0.B
CLP-14	JUNB_HUMAN.H11MO.0.A
CLP-14	CEBPA_HUMAN.H11MO.0.A
CLP-14	ATF3_HUMAN.H11MO.0.A
CLP-14	FOS_HUMAN.H11MO.0.A
CLP-14	PAX5_HUMAN.H11MO.0.A
CLP-14	TFAP4_HUMAN.H11MO.0.A
CLP-14	BACH2_HUMAN.H11MO.0.A
CLP-14	CEBPB_HUMAN.H11MO.0.A
CLP-14	FLI1_HUMAN.H11MO.1.A
CLP-14	MAFB_HUMAN.H11MO.0.B
CLP-14	CEBPE_HUMAN.H11MO.0.A
CLP-14	JDP2_HUMAN.H11MO.0.D
CLP-14	HEN1_HUMAN.H11MO.0.C
CLP-14	CEBPD_HUMAN.H11MO.0.C
CLP-14	IRF5_HUMAN.H11MO.0.D
CLP-14	GATA1_HUMAN.H11MO.1.A
CLP-14	JUND_HUMAN.H11MO.0.A
CLP-14	FIGLA_HUMAN.H11MO.0.D
CLP-14	MYF6_HUMAN.H11MO.0.C
CLP-14	DBP_HUMAN.H11MO.0.B
CLP-14	LYL1_HUMAN.H11MO.0.A
CLP-14	IRF1_HUMAN.H11MO.0.A
CLP-14	NF2L2_HUMAN.H11MO.0.A
CLP-14	NDF1_HUMAN.H11MO.0.A
CLP-14	TWST1_HUMAN.H11MO.1.A
CLP-14	PRDM1_HUMAN.H11MO.0.A
CLP-14	GATA5_HUMAN.H11MO.0.D
CLP-14	IRF7_HUMAN.H11MO.0.C
CLP-14	FOSL2_HUMAN.H11MO.0.A
CMP-4	GATA1_HUMAN.H11MO.1.A
CMP-4	MEF2C_HUMAN.H11MO.0.A
CMP-4	IRF2_HUMAN.H11MO.0.A
CMP-4	DBP_HUMAN.H11MO.0.B
CMP-4	IRF4_HUMAN.H11MO.0.A
CMP-4	MYOG_HUMAN.H11MO.0.B
CMP-4	NDF1_HUMAN.H11MO.0.A
CMP-4	HTF4_HUMAN.H11MO.0.A
CMP-4	PRDM1_HUMAN.H11MO.0.A
CMP-4	CEBPD_HUMAN.H11MO.0.C
CMP-4	ZEB1_HUMAN.H11MO.0.A
CMP-4	ASCL1_HUMAN.H11MO.0.A
CMP-4	TFAP4_HUMAN.H11MO.0.A
CMP-4	ID4_HUMAN.H11MO.0.D
CMP-4	MYF6_HUMAN.H11MO.0.C
CMP-4	HEN1_HUMAN.H11MO.0.C
CMP-4	FIGLA_HUMAN.H11MO.0.D
CMP-4	MESP1_HUMAN.H11MO.0.D
CMP-4	ITF2_HUMAN.H11MO.0.C
CMP-4	IRF5_HUMAN.H11MO.0.D
CMP-4	ASCL2_HUMAN.H11MO.0.D
CMP-4	LYL1_HUMAN.H11MO.0.A
CMP-4	TFE2_HUMAN.H11MO.0.A
CMP-4	STAT1_HUMAN.H11MO.1.A
CMP-4	BC11A_HUMAN.H11MO.0.A
CMP-4	IRF3_HUMAN.H11MO.0.B
CMP-4	SNAI1_HUMAN.H11MO.0.C
CMP-4	TWST1_HUMAN.H11MO.1.A
CMP-4	CEBPB_HUMAN.H11MO.0.A
CMP-4	ETV6_HUMAN.H11MO.0.D
CMP-4	IRF1_HUMAN.H11MO.0.A
CMP-4	IRF7_HUMAN.H11MO.0.C
CMP-4	STAT2_HUMAN.H11MO.0.A
CMP-4	IRF9_HUMAN.H11MO.0.C
GMP-5	MEF2C_HUMAN.H11MO.0.A
GMP-5	KLF4_HUMAN.H11MO.0.A
GMP-5	HLF_HUMAN.H11MO.0.C
GMP-5	IRF5_HUMAN.H11MO.0.D
GMP-5	GABPA_HUMAN.H11MO.0.A
GMP-5	JUND_HUMAN.H11MO.0.A
GMP-5	GATA5_HUMAN.H11MO.0.D
GMP-5	CTCFL_HUMAN.H11MO.0.A
GMP-5	MAFG_HUMAN.H11MO.1.A
GMP-5	NFIB_HUMAN.H11MO.0.D
GMP-5	NFIL3_HUMAN.H11MO.0.D
GMP-5	CTCF_HUMAN.H11MO.0.A
GMP-5	EHF_HUMAN.H11MO.0.B
GMP-5	ELF5_HUMAN.H11MO.0.A
GMP-5	TWST1_HUMAN.H11MO.1.A
GMP-5	GATA3_HUMAN.H11MO.0.A
